Ligne précédente,Date,Heure
دار الصويري: اسدال الستار على فعاليات النسخة السابعة من مهرجان,30 دجنبر 2023,11:29
مهرجان فاس للثقافة الصوفية يعود في دورته السادسة عشرة ما,29 دجنبر 2023,16:47
وزارة الثقافة تنظم أمسية فنية كبرى للملحون بالرباط,29 دجنبر 2023,11:07
مغربي يتوج في مسابقة إيسيسكو الشبابية حول صناعة محتوى رقمي,27 دجنبر 2023,11:34
افتتاح فعاليات معرض للصناعة التقليدية بشفشاون,24 دجنبر 2023,17:54
العيون تستضيف فعاليات الدورة السابعة لمهرجان العيون الدولي لفنون الشارع,24 دجنبر 2023,15:09
سينما بلا حدود: الدعوة إلى إحداث صندوق مشترك لتمويل الإنتاج,23 دجنبر 2023,15:14
لجنة دعم إنتاج الأعمال السينمائية تعلن أسماء الأفلام المستفيدة من,21 دجنبر 2023,16:56
منح 25 مليون درهم لدعم رقمنة وتحديث قاعات سينمائية,21 دجنبر 2023,16:40
جائزة الشارقة للبحث النقدي التشكيلي: الناقد المغربي أحمد لطف الله,20 دجنبر 2023,11:33
الإيسيسكو تصادق على إدراج ثمانية عناصر من التراث غير المادي,18 دجنبر 2023,21:19
فن كناوة تحت أضواء برنامج 60 دقيقة الشهير على شبكة,15 دجنبر 2023,20:15
جائزة البوكر العربية 2024: رواية الفسيفسائي للمغربي عيسى ناصري ضمن,15 دجنبر 2023,17:27
جائزة الحسن الثاني للمخطوطات 2023: منح تسع جوائز تقديرية جهوية,15 دجنبر 2023,12:00
تحديد موعد تنظيم الدورة ال29 للمعرض الدولي للنشر والكتاب 2024,15 دجنبر 2023,11:42
مهرجان طنجة زووم للسينما الاجتماعية يفتتح فعاليات دورته العاشرة,14 دجنبر 2023,12:00
جائزة القارات الخمس للفرونكوفونية 2024: رواية المغربي خالد اليملاحي ضمن,13 دجنبر 2023,17:03
المغربية سلمى المومني تظفر جائزة الرواية الطلابية فرانس كولتور 2024,13 دجنبر 2023,13:55
مهرجان مراكش للكتاب الإفريقي 2024: تنظيم الدورة الثانية من 8,13 دجنبر 2023,13:25
مهرجان الطلبة السينمائي 2023: رحلة سينمائية نحو حرية الإبداع,13 دجنبر 2023,10:15
جائزة الشيخ حمد للترجمة والتفاهم الدولي 2023: ثلاثة مغاربة ضمن,12 دجنبر 2023,22:06
مراكش تنظم حفل إعطاء الانطلاقة لعمليات التكوين في حرفة صناعة,11 دجنبر 2023,14:30
افتتاح فعاليات الدورة الخامسة للمعرض الدولي للفن المعاصر IN RABAT,10 دجنبر 2023,12:01
الدار البيضاء تحتضن الدورة الأولى من معرض فنون الذكاء الاصطناعي,8 دجنبر 2023,20:18
افتتاح فعاليات الدورة الـ14 لمهرجان إسني ن ورغ الدولي للفيلم,7 دجنبر 2023,21:55
تحديد تواريخ دورات مهرجانات جازابلانكا وكازا أنفا لاتينا وطنجاز برسم,7 دجنبر 2023,15:21
المجلة الأمريكية تايم تمنح تايلور سويفت شخصية العام,7 دجنبر 2023,11:03
وزارة الثقافة: إدراج فن الملحون في قائمةالتراث الثقافي غير المادي,6 دجنبر 2023,18:41
اليونيسكو تدرج فن الملحون في قائمة التراث غير المادي,6 دجنبر 2023,16:29
السيد أندري أزولاي: الثقافة والتراث والفنون الحية جوهر هويتنا الجماعية,4 دجنبر 2023,20:59
تصوير الجزء الثاني من فيلم Lord of War بالمغرب خلال,4 دجنبر 2023,19:51
المنسق العام للمهرجان الدولي للفيلم بمراكش: الدورة العشرين استثنائية على,3 دجنبر 2023,11:31
الدورة العشرون للمهرجان الدولي للفيلم بمراكش: جائزة أفضل إخراج للسنغالية,2 دجنبر 2023,22:23
المهرجان الدولي للفيلم بمراكش 2023: عصابات لكمال الأزرق و باي,2 دجنبر 2023,21:00
فيلم كذب أبيض للمخرجة المغربية أسماء المدير يفوز بالنجمة الذهبية,2 دجنبر 2023,20:31
القفطان المغربي يتألق في نيروبي,2 دجنبر 2023,16:18
المهرجان الدولي للفيلم بمراكش: حوار خاص مع المخرجة المغربية جيهان,2 دجنبر 2023,11:43
المهرجان الدولي للفيلم بمراكش: عرض فيلم عالمنا للمخرجة لوانا باجرامي,1 دجنبر 2023,20:15
مهرجان مراكش الدولي للفيلم: الإعلان عن الفائزين في الدورة السادسة,30 نونبر 2023,19:08
المهرجان الدولي للفيلم بمراكش: برنامج ورشات الأطلس أحدث وقعا إيجابيا,30 نونبر 2023,17:39
ليلى السليماني: قوة السينما المغربية تكمن في مخرجيها الشباب المتشبعين,30 نونبر 2023,13:01
المهرجان الدولي للفيلم مراكش 2023: تكريم المخرج المغربي فوزي بنسعيدي,29 نونبر 2023,23:10
مهرجان مراكش الدولي للفيلم: المخرج الأرجنتيني ليساندرو ألونسو يتطلع إلى,29 نونبر 2023,11:13
الممثلة الأمريكية جيسيكا شاستين: المهرجان الدولي للفيلم بمراكش رمز للصمود,29 نونبر 2023,10:20
عرض فيلم كذب أبيض للمخرجة أسماء المدير ضمن المسابقة الرسمية,28 نونبر 2023,23:13
الممثلة العالمية تيلدا سوينتون: تجمعني بالمغرب علاقة افتتان وتأمل,28 نونبر 2023,16:43
الجائزة الوطنية الكبرى للصحافة 2023: تنصيب لجنة تحكيم الدورة الـ21,28 نونبر 2023,13:11
الحصيلة: فيلم برازيلي درامي يضيء جوانب من معيش الطبقة العاملة,26 نونبر 2023,21:06
المهرجان الدولي للفيلم بمراكش 2023: فلم عصابات ضمن المنافسين الرسميين,26 نونبر 2023,15:01
ندوة بالصويرة تؤكد على الدور المحوري للمخطوط في إضاءة جوانب,26 نونبر 2023,14:38
ياك ألبحر يتوج بالجائزة الكبرى للمهرجان الدولي السينما والبحر,26 نونبر 2023,13:45
المهرجان الدولي للفيلم بمراكش يحتفي بذكراه العشرين بحضور ألمع نجوم,26 نونبر 2023,03:56
باي باي طبريا .. قصة إنسانية عن حنين المغترب لوطنه,25 نونبر 2023,23:22
أطفال منطقة الحوز المتضررة من الزلزال يحلون ضيوفا على قسم,25 نونبر 2023,13:10
